Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"KLBF","KALBE FARMA","Health Care","Equity","67,812.44","0.03","67,812.44","565,104.00","-","ID1000125107","B7311V6","0.12","Indonesia","Indonesia Stock Exchange","USD","14,125.00","IDR"
"005385","HYUNDAI MOTOR S1 PREF","Consumer Discretionary","Equity","67,792.04","0.03","67,792.04","615.00","S64510225","KR7005381009","6451022","110.27","Korea (South)","Korea Exchange (Stock Market)","USD","1,097.35","KRW"
"OPAP","GREEK ORGANISATION OF FOOTBALL PRO","Consumer Discretionary","Equity","67,730.86","0.03","67,730.86","5,055.00","S71072508","GRS419003009","7107250","13.40","Greece","Athens Exchange S.A. Cash Market","USD","0.82","EUR"
"QFLS","QATAR FUEL","Energy","Equity","67,628.88","0.03","67,628.88","12,931.00","S65165565","QA0001200771","6516556","5.23","Qatar","Qatar Exchange","USD","3.64","QAR"
"1114","BRILLIANCE CHINA AUTOMOTIVE HOLDIN","Consumer Discretionary","Equity","67,588.10","0.03","67,588.10","79,515.00","S61814828","BMG1368B1028","6181482","0.85","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
"600887","INNER MONGOLIA YILI INDUSTRIAL GRO","Consumer Staples","Equity","67,567.70","0.03","67,567.70","8,997.00","-","CNE000000JP5","BP3R2V7","7.51","China","Shanghai Stock Exchange","USD","6.48","CNY"
"300059","EAST MONEY INFORMATION LTD A","Financials","Equity","67,465.73","0.03","67,465.73","13,229.00","-","CNE100000MD4","BD5CPC8","5.10","China","Shenzhen Stock Exchange","USD","6.48","CNY"
"PIIND","P.I. INDUSTRIES LTD","Materials","Equity","67,282.17","0.03","67,282.17","2,117.00","-","INE603J01030","B992PT3","31.78","India","National Stock Exchange Of India","USD","73.39","INR"
"MAIL","MAIL RU GROUP GDR LTD","Communication","Equity","67,159.81","0.03","67,159.81","2,438.00","560317208","US5603172082","BLPHF41","27.55","Russian Federation","Standard-Classica-Forts","USD","74.63","RUB"
"HAVELLS","HAVELLS INDIA LTD","Industrials","Equity","66,813.10","0.03","66,813.10","4,838.00","-","INE176B01034","BQGZWP9","13.81","India","National Stock Exchange Of India","USD","73.39","INR"
"EREGL","EREGLI DEMIR VE CELIK FABRIKALARI","Materials","Equity","66,792.70","0.03","66,792.70","33,734.00","-","TRAEREGL91G3","B03MS97","1.98","Turkey","Istanbul Stock Exchange","USD","7.47","TRY"
"TEL","PLDT INC","Communication","Equity","66,772.31","0.03","66,772.31","2,199.00","-","PHY7072Q1032","BDGN274","30.36","Philippines","Philippine Stock Exchange Inc.","USD","48.09","PHP"
"817","CHINA JINMAO HOLDINGS GROUP LTD","Real Estate","Equity","66,751.91","0.03","66,751.91","139,066.00","-","HK0817039453","B23TGR6","0.48","China","Hong Kong Exchanges And Clearing Ltd","USD","7.76","HKD"
