Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,FX Rate,Market Currency
"HEIO","HEINEKEN HOLDING NV","Consumer Staples","Equity","1,073,443.65","0.21","1,073,443.65","11,326.00","-","NL0000008977","B0CCH46","94.78","Netherlands","Euronext Amsterdam","USD","0.81","EUR"
"PUM","PUMA","Consumer Discretionary","Equity","1,067,273.27","0.21","1,067,273.27","9,639.00","S50647221","DE0006969603","5064722","110.73","Germany","Xetra","USD","0.81","EUR"
"URW","UNIBAIL RODAMCO WE STAPLED UNITS","Real Estate","Equity","1,049,723.10","0.21","1,049,723.10","13,606.00","-","FR0013326246","BFYM460","77.15","France","Euronext Amsterdam","USD","0.81","EUR"
"TRN","TERNA RETE ELETTRICA NAZIONALE","Utilities","Equity","1,046,233.29","0.21","1,046,233.29","138,391.00","-","IT0003242622","B01BN57","7.56","Italy","Borsa Italiana","USD","0.81","EUR"
"PAH3","PORSCHE AUTOMOBIL HOLDING PREF","Consumer Discretionary","Equity","1,041,782.53","0.21","1,041,782.53","15,057.00","S71010698","DE000PAH0038","7101069","69.19","Germany","Xetra","USD","0.81","EUR"
"DIM","SARTORIUS STEDIM BIOTECH SA","Health Care","Equity","991,559.69","0.20","991,559.69","2,718.00","-","FR0013154002","BYZ2QP5","364.86","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"SGRE","SIEMENS GAMESA RENEWABLE ENERGY SA","Industrials","Equity","989,688.34","0.20","989,688.34","23,441.00","-","ES0143416115","B01CP21","42.22","Spain","Bolsa De Madrid","USD","0.81","EUR"
"HEN","HENKEL AG","Consumer Staples","Equity","985,136.42","0.20","985,136.42","10,216.00","S50024652","DE0006048408","5002465","96.43","Germany","Xetra","USD","0.81","EUR"
"HO","THALES SA","Industrials","Equity","980,028.16","0.19","980,028.16","10,474.00","S41627910","FR0000121329","4162791","93.57","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"UMI","UMICORE SA","Materials","Equity","974,970.47","0.19","974,970.47","19,379.00","-","BE0974320526","BF44466","50.31","Belgium","Nyse Euronext - Euronext Brussels","USD","0.81","EUR"
"EDF","ELECTRICITE DE FRANCE SA","Utilities","Equity","971,480.67","0.19","971,480.67","61,023.00","-","FR0010242511","B0NJJ17","15.92","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"KBX","KNORR BREMSE AG","Industrials","Equity","970,722.01","0.19","970,722.01","7,129.00","-","DE000KBX1006","BD2P9X9","136.17","Germany","Xetra","USD","0.81","EUR"
"CCEP","COCA COLA EUROPEAN PARTNERS PLC","Consumer Staples","Equity","969,002.40","0.19","969,002.40","20,095.00","-","GB00BDCPN049","BYQQ3P5","48.22","Netherlands","New York Stock Exchange Inc.","USD","1.00","USD"
"FBK","FINECOBANK BANCA FINECO","Financials","Equity","943,663.38","0.19","943,663.38","57,192.00","-","IT0000072170","BNGN9Z1","16.50","Italy","Borsa Italiana","USD","0.81","EUR"
"AGS","AGEAS SA","Financials","Equity","941,589.73","0.19","941,589.73","17,236.00","-","BE0974264930","B86S2N0","54.63","Belgium","Nyse Euronext - Euronext Brussels","USD","0.81","EUR"
"HNR1","HANNOVER RUECK","Financials","Equity","939,617.23","0.19","939,617.23","5,929.00","S45118098","DE0008402215","4511809","158.49","Germany","Xetra","USD","0.81","EUR"
"EN","BOUYGUES SA","Industrials","Equity","939,162.04","0.19","939,162.04","22,414.00","S40021214","FR0000120503","4002121","41.90","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"CABK","CAIXABANK SA","Financials","Equity","924,545.32","0.18","924,545.32","352,880.00","-","ES0140609019","B283W97","2.62","Spain","Bolsa De Madrid","USD","0.81","EUR"
"ATO","ATOS","Information Technology","Equity","893,288.81","0.18","893,288.81","9,660.00","S56547813","FR0000051732","5654781","92.47","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"ACS","ACS ACTIVIDADES DE CONSTRUCCION Y","Industrials","Equity","886,208.05","0.18","886,208.05","26,297.00","-","ES0167050915","B01FLQ6","33.70","Spain","Bolsa De Madrid","USD","0.81","EUR"
"SOLB","SOLVAY SA","Materials","Equity","885,398.82","0.18","885,398.82","7,287.00","S48211007","BE0003470755","4821100","121.51","Belgium","Nyse Euronext - Euronext Brussels","USD","0.81","EUR"
"UBI","UBISOFT ENTERTAINMENT SA CAT A","Communication","Equity","884,235.55","0.18","884,235.55","8,941.00","-","FR0000054470","B1L3CS6","98.90","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"FR","VALEO SA","Consumer Discretionary","Equity","871,439.60","0.17","871,439.60","22,512.00","-","FR0013176526","BDC5ST8","38.71","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"GRF","GRIFOLS SA CLASS A","Health Care","Equity","867,089.99","0.17","867,089.99","29,333.00","-","ES0171996087","BYY3DX6","29.56","Spain","Bolsa De Madrid","USD","0.81","EUR"
"EXO","EXOR NV","Financials","Equity","858,087.31","0.17","858,087.31","10,661.00","-","NL0012059018","BYSLCX9","80.49","Italy","Borsa Italiana","USD","0.81","EUR"
"NEXI","NEXI","Information Technology","Equity","856,519.42","0.17","856,519.42","43,259.00","-","IT0005366767","BJ1F880","19.80","Italy","Borsa Italiana","USD","0.81","EUR"
"G24","SCOUT24 N AG","Communication","Equity","855,659.62","0.17","855,659.62","10,577.00","-","DE000A12DM80","BYT9340","80.90","Germany","Xetra","USD","0.81","EUR"
"PRY","PRYSMIAN","Industrials","Equity","855,507.89","0.17","855,507.89","23,725.00","-","IT0004176001","B1W4V69","36.06","Italy","Borsa Italiana","USD","0.81","EUR"
"ELE","ENDESA SA","Utilities","Equity","850,045.58","0.17","850,045.58","31,229.00","S52717824","ES0130670112","5271782","27.22","Spain","Bolsa De Madrid","USD","0.81","EUR"
"RNO","RENAULT SA","Consumer Discretionary","Equity","848,477.70","0.17","848,477.70","18,897.00","S47127980","FR0000131906","4712798","44.90","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"ATL","ATLANTIA","Industrials","Equity","846,555.78","0.17","846,555.78","48,709.00","S76671635","IT0003506190","7667163","17.38","Italy","Borsa Italiana","USD","0.81","EUR"
"MSINT","CASH COLLATERAL USD MSILW","Cash and/or Derivatives","Cash Collateral and Margins","840,008.40","0.17","840,008.40","8,400.00","-","-","-","100.00","United States","-","USD","1.00","USD"
"EBS","ERSTE GROUP BANK AG","Financials","Equity","836,339.25","0.17","836,339.25","27,466.00","S52898376","AT0000652011","5289837","30.45","Austria","Wiener Boerse Ag","USD","0.81","EUR"
"TMV","TEAMVIEWER AG","Information Technology","Equity","812,062.35","0.16","812,062.35","14,749.00","-","DE000A2YN900","BJ7WGS1","55.06","Germany","Xetra","USD","0.81","EUR"
"FGR","EIFFAGE SA","Industrials","Equity","794,259.29","0.16","794,259.29","8,322.00","-","FR0000130452","B13X013","95.44","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"BVI","BUREAU VERITAS SA","Industrials","Equity","790,466.02","0.16","790,466.02","28,891.00","-","FR0006174348","B28DTJ6","27.36","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"AKE","ARKEMA SA","Materials","Equity","781,716.22","0.15","781,716.22","6,787.00","-","FR0010313833","B0Z5YZ2","115.18","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
"ELISA","ELISA","Communication","Equity","780,654.11","0.15","780,654.11","13,985.00","S57015133","FI0009007884","5701513","55.82","Finland","Nasdaq Omx Helsinki Ltd.","USD","0.81","EUR"
"REE","RED ELECTRICA SA","Utilities","Equity","777,518.34","0.15","777,518.34","38,644.00","-","ES0173093024","BD6FXN3","20.12","Spain","Bolsa De Madrid","USD","0.81","EUR"
"RAND","RANDSTAD HOLDING","Industrials","Equity","774,079.11","0.15","774,079.11","11,716.00","S52286580","NL0000379121","5228658","66.07","Netherlands","Euronext Amsterdam","USD","0.81","EUR"
"SW","SODEXO SA","Consumer Discretionary","Equity","739,282.22","0.15","739,282.22","8,699.00","S70627138","FR0000121220","7062713","84.98","France","Nyse Euronext - Euronext Paris","USD","0.81","EUR"
